"Aerofoil.Aerofoil: Direction [1,0,0] (m)",Aerofoil.Aerofoil: Pressure Coefficient,Column1,Column2
5.95E-05,1992.677379,3.91E-04,1
5.95E-05,1991.563306,3.91E-04,0.999440916
2.38E-04,1916.666364,1.56E-03,0.961854831
2.38E-04,1914.242877,1.56E-03,0.960638635
4.76E-04,1790.909087,3.12E-03,0.898745128
4.76E-04,1787.788,3.13E-03,0.89717885
7.14E-04,1674.770193,4.69E-03,0.84046229
7.14E-04,1671.544885,4.69E-03,0.83884371
9.52E-04,1541.022855,6.25E-03,0.773342876
9.53E-04,1537.821124,6.25E-03,0.771736128
0.001190625,1391.194086,7.81E-03,0.698153199
0.001190625,1388.209085,7.81E-03,0.696655213
0.00142875,1141.860098,9.38E-03,0.573028083
0.00142875,1139.010945,9.38E-03,0.571598271
0.001666875,810.7124435,1.09E-02,0.406845811
0.001666875,808.5802377,1.09E-02,0.40577579
0.001940719,121.7107204,1.27E-02,0.061078989
0.001940719,120.0249712,1.27E-02,0.060233017
0.002286,-202.495349,1.50E-02,-0.101619736
0.002286,-203.7642169,1.50E-02,-0.102256501
0.002667,127.2266263,1.75E-02,0.063847077
0.002667,125.9891562,1.75E-02,0.063226068
0.003048,159.9773099,2.00E-02,0.080282594
0.003048,159.0399717,2.00E-02,0.079812203
0.003429,-21.6825103,2.25E-02,-0.010881094
0.003429,-22.25422891,2.25E-02,-0.011168004
0.003833812,-313.8567278,2.52E-02,-0.157505039
0.003833813,-314.1952597,2.52E-02,-0.157674927
0.00428625,-315.7749344,2.81E-02,-0.158467667
0.00428625,-316.1661006,2.81E-02,-0.158663968
0.0047625,-115.8946692,3.12E-02,-0.058160277
0.0047625,-116.5228749,3.12E-02,-0.058475535
0.00523875,-87.86256206,3.44E-02,-0.044092718
0.00523875,-88.4659921,3.44E-02,-0.044395542
0.005715,-133.7437067,3.75E-02,-0.067117592
0.005715,-134.3258999,3.75E-02,-0.067409758
0.00619125,-186.6091888,4.06E-02,-0.093647467
0.00619125,-187.150531,4.06E-02,-0.093919133
0.0066675,-263.1266936,4.38E-02,-0.132046811
0.0066675,-263.5754715,4.38E-02,-0.132272025
0.00714375,-382.4176934,4.69E-02,-0.191911494
0.00714375,-382.7146841,4.69E-02,-0.192060535
0.00762,-563.1636251,5.00E-02,-0.28261656
0.00762,-563.2422819,5.00E-02,-0.282656032
0.00809625,-603.0296901,5.31E-02,-0.302622841
0.00809625,-603.1255206,5.31E-02,-0.302670933
0.0085725,-450.2689816,5.63E-02,-0.225961807
0.0085725,-450.619596,5.63E-02,-0.226137759
0.00904875,-400.2247394,5.94E-02,-0.200847736
0.00904875,-400.6589715,5.94E-02,-0.20106565
0.009525,-413.0030603,6.25E-02,-0.207260375
0.009525,-413.4435419,6.25E-02,-0.207481425
0.01000125,-433.5243628,6.56E-02,-0.217558731
0.01000125,-433.9609559,6.56E-02,-0.21777783
0.0104775,-468.0290252,6.87E-02,-0.234874461
0.0104775,-468.4394009,6.87E-02,-0.235080403
0.01095375,-530.8026969,7.19E-02,-0.266376636
0.01095375,-531.1322604,7.19E-02,-0.266542023
0.01143,-633.0986354,7.50E-02,-0.317712562
0.01143,-633.2783047,7.50E-02,-0.317802727
0.01190625,-640.0330346,7.81E-02,-0.321192503
0.01190625,-640.2853827,7.81E-02,-0.321319141
0.0123825,-549.8966773,8.12E-02,-0.275958709
0.0123825,-550.3213079,8.12E-02,-0.276171805
0.01285875,-520.7087691,8.44E-02,-0.261311126
0.01285875,-521.1831352,8.44E-02,-0.26154918
0.013335,-525.582004,8.75E-02,-0.263756697
0.013335,-526.0735629,8.75E-02,-0.26400338
0.01381125,-537.7975013,9.06E-02,-0.26988689
0.01381125,-538.3001988,9.06E-02,-0.270139163
0.0142875,-562.8861846,9.38E-02,-0.28247733
0.0142875,-563.3487325,9.38E-02,-0.282709453
0.01476375,-613.1930542,9.69E-02,-0.307723197
0.01476375,-613.5843753,9.69E-02,-0.307919577
0.015247937,-692.5478833,1.00E-01,-0.347546417
0.015247938,-692.8391528,1.00E-01,-0.347692587
0.015748,-671.6692953,1.03E-01,-0.337068761
0.015748,-672.0363227,1.03E-01,-0.337252949
0.016256,-579.1277606,1.07E-01,-0.29062796
0.016256,-579.6752761,1.07E-01,-0.290902723
