"Aerofoil.Aerofoil: Direction [1,0,0] (m)",Aerofoil.Aerofoil: Pressure Coefficient,Column1,Column2
0.016764,-536.2041135,1.10E-01,-0.269087269
0.016764,-536.8379458,1.10E-01,-0.26940535
0.017272,-520.5878506,1.13E-01,-0.261250444
0.017272,-521.2666789,1.13E-01,-0.261591106
0.01778,-508.495558,1.17E-01,-0.25518208
0.01778,-509.2152783,1.17E-01,-0.255543262
0.018288,-501.1758034,1.20E-01,-0.251508753
0.018288,-501.9229405,1.20E-01,-0.251883695
0.018796,-499.5295989,1.23E-01,-0.250682626
0.018796,-500.2933305,1.23E-01,-0.251065895
0.019304,-501.8685957,1.27E-01,-0.251856422
0.019304,-502.6389353,1.27E-01,-0.252243008
0.019812,-508.5838484,1.30E-01,-0.255226387
0.019812,-509.3538561,1.30E-01,-0.255612806
0.02032,-519.265005,1.33E-01,-0.260586591
0.02032,-520.0275677,1.33E-01,-0.260969273
0.020828,-534.679074,1.37E-01,-0.268321947
0.020828,-535.4218975,1.37E-01,-0.268694724
0.021336,-556.2874379,1.40E-01,-0.279165832
0.021336,-556.9955168,1.40E-01,-0.279521172
0.021844,-587.3308486,1.43E-01,-0.294744576
0.021844,-587.9827967,1.43E-01,-0.295071748
0.022352,-634.229982,1.47E-01,-0.318280314
0.022352,-634.7966086,1.47E-01,-0.318564669
0.02286,-697.056096,1.50E-01,-0.349808807
0.02286,-697.5020981,1.50E-01,-0.350032627
0.023368,-682.4802173,1.53E-01,-0.342494086
0.023368,-682.979085,1.53E-01,-0.342744436
0.023876,-610.3497438,1.57E-01,-0.306296318
0.023876,-611.0207912,1.57E-01,-0.306633075
0.024384,-574.5415801,1.60E-01,-0.288326443
0.024384,-575.2962483,1.60E-01,-0.288705163
0.024892,-559.3158623,1.63E-01,-0.280685608
0.024892,-560.1096661,1.63E-01,-0.281083969
0.0254,-546.4871335,1.67E-01,-0.274247673
0.0254,-547.3187069,1.67E-01,-0.274664987
0.025908,-537.2414871,1.70E-01,-0.269607862
0.025908,-538.1024698,1.70E-01,-0.270039935
0.026416,-532.091456,1.73E-01,-0.267023384
0.026416,-532.972518,1.73E-01,-0.267465533
0.026924,-530.0927119,1.77E-01,-0.266020339
0.026924,-530.9865993,1.77E-01,-0.266468925
0.027432,-530.6456821,1.80E-01,-0.26629784
0.027432,-531.5452438,1.80E-01,-0.266749274
0.02794,-534.5349707,1.83E-01,-0.268249631
0.02794,-535.4354885,1.83E-01,-0.268701544
0.028448,-541.4603914,1.87E-01,-0.271725066
0.028448,-542.3509076,1.87E-01,-0.27217196
0.028956,-552.2333014,1.90E-01,-0.277131314
0.028956,-553.1025845,1.90E-01,-0.277567553
0.029464,-568.9916829,1.93E-01,-0.285541297
0.029464,-569.8228896,1.93E-01,-0.285958427
0.029972,-593.8479775,1.97E-01,-0.298015115
0.029972,-594.6194681,1.97E-01,-0.298402277
0.03048,-625.4835746,2.00E-01,-0.31389104
0.03048,-626.1713487,2.00E-01,-0.314236191
0.030988,-613.3361054,2.03E-01,-0.307794986
0.030988,-614.0681961,2.03E-01,-0.308162376
0.031496,-570.0142624,2.07E-01,-0.286054465
0.031496,-570.8780398,2.07E-01,-0.286487941
0.032004,-546.2007441,2.10E-01,-0.274103952
0.032004,-547.1335393,2.10E-01,-0.274572063
0.032512,-534.4872982,2.13E-01,-0.268225707
0.032512,-535.4536121,2.13E-01,-0.268710639
0.03302,-524.1704931,2.17E-01,-0.263048348
0.03302,-525.1696467,2.17E-01,-0.263549761
0.033528,-516.1412828,2.20E-01,-0.25901899
0.033528,-517.1673849,2.20E-01,-0.259533927
0.034036,-510.8125465,2.23E-01,-0.256344831
0.034036,-511.8580104,2.23E-01,-0.256869484
0.034544,-507.5850333,2.27E-01,-0.254725145
0.034544,-508.6443112,2.27E-01,-0.25525673
0.035052,-506.3179762,2.30E-01,-0.254089288
0.035052,-507.3856907,2.30E-01,-0.254625107
0.03556,-506.9520394,2.33E-01,-0.254407485
0.03556,-508.0226953,2.33E-01,-0.25494478
0.036068,-510.05493,2.37E-01,-0.255964631
0.036068,-511.1231002,2.37E-01,-0.256500679
0.036576,-515.7381125,2.40E-01,-0.258816664
0.036576,-516.7912617,2.40E-01,-0.259345174
0.037084,-525.3583806,2.43E-01,-0.263644475
0.037084,-526.3815215,2.43E-01,-0.264157925
0.037592,-540.3568504,2.47E-01,-0.271171267
0.037592,-541.3291239,2.47E-01,-0.271659191
0.0381,-559.3615443,2.50E-01,-0.280708533
0.0381,-560.2661647,2.50E-01,-0.281162506
0.038608,-549.2658739,2.53E-01,-0.275642148
0.038608,-550.2094715,2.53E-01,-0.276115681
0.039116,-518.8570723,2.57E-01,-0.260381875
0.039116,-519.908366,2.57E-01,-0.260909454
0.039624,-501.3126595,2.60E-01,-0.251577433
0.039624,-502.4216646,2.60E-01,-0.252133973
0.040132,-491.9980167,2.63E-01,-0.246902997
0.040132,-493.1378797,2.63E-01,-0.247475023
0.04064,-483.4441318,2.67E-01,-0.242610338
0.04064,-484.6136753,2.67E-01,-0.243197258
0.041148,-476.5385314,2.70E-01,-0.239144849
0.041148,-477.7319822,2.70E-01,-0.239743767
0.041656,-471.6738065,2.73E-01,-0.236703548
0.041656,-472.8838813,2.73E-01,-0.237310809
0.042164,-468.4898788,2.77E-01,-0.235105735
0.042164,-469.7107419,2.77E-01,-0.235718409
0.042672,-466.9179187,2.80E-01,-0.234316866
0.042672,-468.1441957,2.80E-01,-0.234932258
0.04318,-466.9470563,2.83E-01,-0.234331489
0.04318,-468.1740673,2.83E-01,-0.234947249
0.043688,-468.9583982,2.87E-01,-0.235340855
0.043688,-470.1797755,2.87E-01,-0.235953788
0.044196,-473.5300454,2.90E-01,-0.237635079
0.044196,-474.7356684,2.90E-01,-0.238240105
0.044704,-482.24288,2.93E-01,-0.242007505
0.044704,-483.4161589,2.93E-01,-0.2425963
0.045212,-495.723479,2.97E-01,-0.248772573
0.045212,-496.8463571,2.97E-01,-0.249336075
0.04572,-513.2049152,3.00E-01,-0.257545411
0.04572,-514.2589407,3.00E-01,-0.258074361
0.046228,-500.0673189,3.03E-01,-0.250952474
0.046228,-501.1719231,3.03E-01,-0.251506806
0.046736,-466.9209208,3.07E-01,-0.234318373
0.046736,-468.1471429,3.07E-01,-0.234933737
0.047244,-445.6719663,3.10E-01,-0.223654853
0.047244,-446.9725674,3.10E-01,-0.224307543
0.047752,-432.444789,3.13E-01,-0.217016961
0.047752,-433.7887822,3.13E-01,-0.217691427
0.04826,-419.8052238,3.17E-01,-0.210673955
0.04826,-421.1905098,3.17E-01,-0.211369143
0.048768,-407.9995914,3.20E-01,-0.204749447
0.048768,-409.4218707,3.20E-01,-0.2054632
0.049276,-398.1178954,3.23E-01,-0.199790443
0.049276,-399.5697645,3.23E-01,-0.200519045
0.049784,-389.4820142,3.27E-01,-0.195456635
0.049784,-390.9598459,3.27E-01,-0.196198266
0.050292,-381.6495442,3.30E-01,-0.191526008
0.050292,-383.1506807,3.30E-01,-0.192279335
0.0508,-374.5429132,3.33E-01,-0.187959635
0.0508,-376.06381,3.33E-01,-0.188722878
0.051308,-368.1025497,3.37E-01,-0.18472762
0.051308,-369.6405518,3.37E-01,-0.185499447
0.051816,-362.2718048,3.40E-01,-0.181801534
0.051816,-363.8247893,3.40E-01,-0.18258088
0.052324,-357.0192386,3.43E-01,-0.1791656
0.052324,-358.5852931,3.43E-01,-0.179951505
0.052832,-352.3383738,3.47E-01,-0.176816567
0.052832,-353.9149888,3.47E-01,-0.177607772
0.05334,-348.2084668,3.50E-01,-0.174744026
0.05334,-349.7931753,3.50E-01,-0.175539292
0.053848,-344.5920443,3.53E-01,-0.17292917
0.053848,-346.1833866,3.53E-01,-0.173727765
0.054356,-341.4864932,3.57E-01,-0.171370688
0.054356,-343.0831418,3.57E-01,-0.172171946
0.054864,-338.9202188,3.60E-01,-0.170082835
0.054864,-340.520647,3.60E-01,-0.17088599
0.055372,-336.9147163,3.63E-01,-0.169076399
0.055372,-338.517077,3.63E-01,-0.169880524
0.05588,-335.5164226,3.67E-01,-0.168374683
0.05588,-337.1195558,3.67E-01,-0.169179195
0.056388,-334.7242436,3.70E-01,-0.167977138
0.056388,-336.3266541,3.70E-01,-0.168781288
0.056896,-334.6358517,3.73E-01,-0.16793278
0.056896,-336.2348863,3.73E-01,-0.168735235
0.057404,-335.4177298,3.77E-01,-0.168325156
0.057404,-337.0111492,3.77E-01,-0.169124793
0.057912,-337.1254624,3.80E-01,-0.16918216
0.057912,-338.7101555,3.80E-01,-0.169977418
0.05842,-339.8786457,3.83E-01,-0.17056381
0.05842,-341.4499125,3.83E-01,-0.17135233
0.058928,-344.0442509,3.87E-01,-0.172654266
0.058928,-345.5991366,3.87E-01,-0.173434566
0.059436,-350.2003625,3.90E-01,-0.175743633
0.059436,-351.7327516,3.90E-01,-0.176512643
0.059944,-359.5094517,3.93E-01,-0.180415282
0.059944,-361.006531,3.93E-01,-0.181166573
0.060452,-373.4851959,3.97E-01,-0.187428833
0.060452,-374.9285987,3.97E-01,-0.188153187
0.060953596,-389.5456066,4.00E-01,-0.195488548
0.060953596,-390.9244204,4.00E-01,-0.196180488
0.061446998,-380.2810113,4.03E-01,-0.190839227
0.061446998,-381.684401,4.03E-01,-0.191543501
0.061940918,-354.2247003,4.06E-01,-0.177763196
0.061940918,-352.7231005,4.06E-01,-0.177009637
0.062434839,-336.671092,4.10E-01,-0.16895414
0.062434839,-335.1071987,4.10E-01,-0.168169319
0.062926452,-326.0909252,4.13E-01,-0.163644616
0.062926452,-324.4905911,4.13E-01,-0.162841509
0.063418065,-315.7263824,4.16E-01,-0.158443301
0.063418065,-314.0926635,4.16E-01,-0.15762344
0.063909677,-306.1923185,4.19E-01,-0.153658752
0.063909677,-304.5288793,4.19E-01,-0.152823976
0.06440129,-297.8055381,4.23E-01,-0.149449952
0.06440129,-296.116259,4.23E-01,-0.148602208
0.064892903,-290.2036202,4.26E-01,-0.145635025
0.064892903,-288.4915656,4.26E-01,-0.144775852
0.065384516,-283.1993215,4.29E-01,-0.142120006
0.065384516,-281.4673987,4.29E-01,-0.141250863
0.065876129,-276.7192821,4.32E-01,-0.13886808
0.065876129,-274.9708123,4.32E-01,-0.137990633
0.066367742,-270.7092267,4.35E-01,-0.13585201
0.066367742,-268.9463251,4.35E-01,-0.13496732
0.066859355,-265.1255295,4.39E-01,-0.133049902
0.066859355,-263.3528195,4.39E-01,-0.13216029
0.067350968,-259.9386884,4.42E-01,-0.130446951
0.067350968,-258.158776,4.42E-01,-0.129553724
0.067842581,-255.1258806,4.45E-01,-0.128031704
0.067842581,-253.3353243,4.45E-01,-0.127133136
0.068334194,-250.6716593,4.48E-01,-0.125796409
0.068334194,-248.8698679,4.48E-01,-0.124892203
0.068825806,-246.567812,4.52E-01,-0.123736945
0.068825806,-244.7575724,4.52E-01,-0.122828499
0.069317419,-242.8132125,4.55E-01,-0.121852747
0.069317419,-240.9964229,4.55E-01,-0.120941014
0.069809032,-239.4153455,4.58E-01,-0.12014757
0.069809032,-237.5921805,4.58E-01,-0.119232638
0.070300645,-236.3657622,4.61E-01,-0.118617175
0.070300645,-234.5376653,4.61E-01,-0.117699768
0.070792258,-233.6596488,4.65E-01,-0.117259147
0.070792258,-231.8275117,4.65E-01,-0.116339712
0.071283871,-231.3210777,4.68E-01,-0.116085564
0.071283871,-229.4859745,4.68E-01,-0.115164641
0.071775484,-229.3796585,4.71E-01,-0.115111287
0.071775484,-227.5428763,4.71E-01,-0.114189521
0.072267097,-227.8714476,4.74E-01,-0.114354411
0.072267097,-226.0342957,4.74E-01,-0.113432459
0.07275871,-226.8484996,4.77E-01,-0.113841057
0.07275871,-225.0130451,4.77E-01,-0.112919958
0.073250323,-226.3384618,4.81E-01,-0.113585101
0.073250323,-224.5067774,4.81E-01,-0.112665894
0.073741935,-226.4506486,4.84E-01,-0.113641401
0.073741935,-224.6229404,4.84E-01,-0.112724188
0.074233548,-227.5120866,4.87E-01,-0.11417407
0.074233548,-225.691831,4.87E-01,-0.113260598
0.074725161,-229.6420132,4.90E-01,-0.115242947
0.074725161,-227.8336582,4.90E-01,-0.114335447
0.075219082,-233.5011062,4.94E-01,-0.117179584
0.075219082,-231.7098895,4.94E-01,-0.116280684
0.075713002,-237.9998924,4.97E-01,-0.119437243
0.075713002,-239.7689915,4.97E-01,-0.120325043
0.0762,-245.5890992,5.00E-01,-0.123245791
0.0762,-247.3312481,5.00E-01,-0.124120066
0.076686998,-238.66504,5.03E-01,-0.119771039
0.076686998,-240.4240326,5.03E-01,-0.120653767
0.077180918,-222.9813341,5.06E-01,-0.111900369
0.077180918,-221.1738027,5.06E-01,-0.110993282
0.077674839,-211.245691,5.10E-01,-0.106010985
0.077674839,-209.4048588,5.10E-01,-0.105087186
0.078166452,-203.2690893,5.13E-01,-0.102008028
0.078166452,-201.4085194,5.13E-01,-0.101074324
0.078658065,-195.4226669,5.16E-01,-0.0980704
0.078658065,-193.5451807,5.16E-01,-0.097128207
0.079149677,-188.092141,5.19E-01,-0.094391668
0.079149677,-186.1983793,5.19E-01,-0.093441307
0.07964129,-181.4501683,5.23E-01,-0.091058478
0.07964129,-179.5417286,5.23E-01,-0.090100751
0.080132903,-175.2659718,5.26E-01,-0.087955017
0.080132903,-173.3444722,5.26E-01,-0.086990736
0.080624516,-169.439123,5.29E-01,-0.085030886
0.080624516,-167.5061494,5.29E-01,-0.084060848
0.081116129,-163.943478,5.32E-01,-0.082272966
0.081116129,-162.0003232,5.32E-01,-0.081297818
0.081607742,-158.7481624,5.35E-01,-0.079665762
0.081607742,-156.7972156,5.35E-01,-0.078686704
0.082099355,-153.8276433,5.39E-01,-0.077196462
0.082099355,-151.8703971,5.39E-01,-0.076214243
0.082590968,-149.1668888,5.42E-01,-0.074857521
0.082590968,-147.2032841,5.42E-01,-0.073872111
0.083082581,-144.7557806,5.45E-01,-0.072643862
0.083082581,-142.7861575,5.45E-01,-0.071655432
0.083574194,-140.5871971,5.48E-01,-0.070551911
0.083574194,-138.614542,5.48E-01,-0.069561959
0.084065806,-136.6563078,5.52E-01,-0.068579244
0.084065806,-134.6830325,5.52E-01,-0.06758898
0.084557419,-132.9609206,5.55E-01,-0.06672476
0.084557419,-130.9845786,5.55E-01,-0.065732958
0.085049032,-129.5014834,5.58E-01,-0.064988685
0.085049032,-127.5245075,5.58E-01,-0.063996565
0.085540645,-126.283267,5.61E-01,-0.063373664
0.085540645,-124.3079593,5.61E-01,-0.062382381
0.086032258,-123.3087806,5.65E-01,-0.061880956
0.086032258,-121.3325445,5.65E-01,-0.060889207
0.086523871,-120.5789044,5.68E-01,-0.060511002
0.086523871,-118.6013142,5.68E-01,-0.059518573
0.087015484,-118.1067264,5.71E-01,-0.05927037
0.087015484,-116.1281457,5.71E-01,-0.058277445
0.087507097,-115.9155354,5.74E-01,-0.058170749
0.087507097,-113.9363628,5.74E-01,-0.057177526
0.08799871,-114.0350659,5.77E-01,-0.057227059
0.08799871,-112.0554171,5.77E-01,-0.056233597
0.088490323,-112.5088001,5.81E-01,-0.056461122
0.088490323,-110.5299234,5.81E-01,-0.055468047
0.088981935,-111.4005801,5.84E-01,-0.055904976
0.088981935,-109.4232706,5.84E-01,-0.054912688
0.089473548,-110.7867461,5.87E-01,-0.055596931
0.089473548,-108.8125846,5.87E-01,-0.054606223
0.089965161,-110.851889,5.90E-01,-0.055629622
0.089965161,-108.8811041,5.90E-01,-0.054640608
0.090459082,-112.1014254,5.94E-01,-0.056256686
0.090459082,-110.1432007,5.94E-01,-0.055273976
0.090953002,-112.8886198,5.97E-01,-0.056651729
0.090953002,-114.830498,5.97E-01,-0.057626237
0.09144,-116.3463536,6.00E-01,-0.05838695
0.09144,-118.278743,6.00E-01,-0.059356695
0.091926998,-110.7487643,6.03E-01,-0.05557787
0.091926998,-112.6869657,6.03E-01,-0.056550532
0.092420918,-100.3835232,6.06E-01,-0.050376205
0.092420918,-98.42931885,6.06E-01,-0.049395512
0.092914839,-91.69136139,6.10E-01,-0.046014153
0.092914839,-89.72727084,6.10E-01,-0.045028499
0.093406452,-85.23510219,6.13E-01,-0.042774161
0.093406452,-83.26617945,6.13E-01,-0.041786082
0.093898065,-78.83862615,6.16E-01,-0.03956417
0.093898065,-76.86997235,6.16E-01,-0.038576226
0.094389677,-72.75997421,6.19E-01,-0.036513675
0.094389677,-70.79484422,6.19E-01,-0.035527499
0.09488129,-67.10831468,6.23E-01,-0.033677461
0.09488129,-65.1406309,6.23E-01,-0.032690004
0.095372903,-61.74434355,6.26E-01,-0.03098562
0.095372903,-59.77215469,6.26E-01,-0.029995902
0.095864516,-56.60920928,6.29E-01,-0.028408617
0.095864516,-54.63347563,6.29E-01,-0.02741712
0.096356129,-51.69014154,6.32E-01,-0.025940045
0.096356129,-49.71158293,6.32E-01,-0.024947131
0.096847742,-46.97093997,6.35E-01,-0.023571774
0.096847742,-44.98986691,6.35E-01,-0.022577597
0.097339355,-42.43711926,6.39E-01,-0.021296533
0.097339355,-40.45428716,6.39E-01,-0.020301474
0.097830968,-38.07988661,6.42E-01,-0.019109911
0.097830968,-36.09600576,6.42E-01,-0.018114325
0.098322581,-33.89306734,6.45E-01,-0.017008808
0.098322581,-31.90979149,6.45E-01,-0.016013526
0.098814194,-29.87247137,6.48E-01,-0.014991123
0.098814194,-27.89106962,6.48E-01,-0.013996781
0.099305806,-26.01548822,6.52E-01,-0.013055545
0.099305806,-24.03585291,6.52E-01,-0.01206209
0.099797419,-22.32068073,6.55E-01,-0.011201352
0.099797419,-20.34291952,6.55E-01,-0.010208837
0.100289032,-18.78850224,6.58E-01,-0.009428773
0.100289032,-16.81558836,6.58E-01,-0.008438691
0.100780645,-15.42147527,6.61E-01,-0.007739073
0.100780645,-13.45546843,6.61E-01,-0.006752457
0.101272258,-12.22348378,6.65E-01,-0.006134201
0.101272258,-10.26120517,6.65E-01,-0.005149456
0.101763871,-9.200855719,6.68E-01,-0.004617333
0.101763871,-7.244559327,6.68E-01,-0.003635591
0.102255484,-6.365112808,6.71E-01,-0.003194252
0.102255484,-4.416912828,6.71E-01,-0.002216572
0.102747097,-3.72466494,6.74E-01,-0.001869176
0.102747097,-1.781075253,6.74E-01,-0.00089381
0.10323871,-1.2914606,6.77E-01,-0.000648103
0.10323871,0.648825233,6.77E-01,0.000325605
0.103730323,0.903871012,6.81E-01,0.000453596
0.103730323,2.840844253,6.81E-01,0.001425642
0.104221935,2.819758672,6.84E-01,0.00141506
0.104221935,4.753814958,6.84E-01,0.002385642
0.104713548,4.375066015,6.87E-01,0.002195572
0.104713548,6.306757931,6.87E-01,0.003164967
0.105205161,5.465830921,6.90E-01,0.002742958
0.105205161,7.395399727,6.90E-01,0.003711288
0.105699082,5.810871568,6.94E-01,0.002916113
0.105699082,7.73842209,6.94E-01,0.003883429
0.106193002,7.135238722,6.97E-01,0.00358073
0.106193002,5.209313449,6.97E-01,0.002614228
0.10668,5.997800737,7.00E-01,0.003009921
0.10668,4.073506264,7.00E-01,0.002044238
0.107166998,11.04516321,7.03E-01,0.005542876
0.107166998,9.12427355,7.03E-01,0.004578902
0.107660918,18.87047262,7.06E-01,0.009469909
0.107660918,20.78701169,7.06E-01,0.0104317
0.108154839,26.14024119,7.10E-01,0.01311815
0.108154839,28.05446769,7.10E-01,0.014078781
0.108646452,31.94534371,7.13E-01,0.016031368
0.108646452,33.8564164,7.13E-01,0.016990415
0.109138065,37.73391617,7.16E-01,0.01893629
0.109138065,39.63974425,7.16E-01,0.019892705
0.109629677,43.31763348,7.19E-01,0.021738408
0.109629677,45.21813947,7.19E-01,0.022692153
0.11012129,48.62166062,7.23E-01,0.024400167
0.11012129,50.51769543,7.23E-01,0.025351668
0.110612903,53.73831752,7.26E-01,0.026967897
0.110612903,55.62989948,7.26E-01,0.027917163
0.111104516,58.70425434,7.29E-01,0.029459989
0.111104516,60.59124699,7.29E-01,0.030406953
0.111596129,63.52614776,7.32E-01,0.031879796
0.111596129,65.40865433,7.32E-01,0.032824508
0.112087742,68.21371143,7.35E-01,0.03423219
0.112087742,70.09152142,7.35E-01,0.035174546
0.112579355,72.77576214,7.39E-01,0.036521598
0.112579355,74.64858494,7.39E-01,0.03746145
0.113070968,77.21744975,7.42E-01,0.038750603
0.113070968,79.08504186,7.42E-01,0.03968783
0.113562581,81.54217919,7.45E-01,0.040920914
0.113562581,83.40402465,7.45E-01,0.041855257
0.114054194,85.7525562,7.48E-01,0.043033838
0.114054194,87.60810734,7.48E-01,0.043965023
0.114545806,89.85024475,7.52E-01,0.045090212
0.114545806,91.69810914,7.52E-01,0.046017539
0.115037419,93.83580719,7.55E-01,0.047090316
0.115037419,95.67495068,7.55E-01,0.048013267
0.115529032,97.70910791,7.58E-01,0.049034083
0.115529032,99.5396338,7.58E-01,0.049952709
0.116020645,101.4689158,7.61E-01,0.050920895
0.116020645,103.2910818,7.61E-01,0.051835326
0.116512258,105.1128113,7.65E-01,0.052749538
0.116512258,106.9242812,7.65E-01,0.053658601
0.117003871,108.6366449,7.68E-01,0.05451793
0.117003871,110.4353685,7.68E-01,0.055420596
0.117495484,112.0340268,7.71E-01,0.056222863
0.117495484,113.8228478,7.71E-01,0.05712056
0.117987097,115.2959252,7.74E-01,0.057859805
0.117987097,117.0728123,7.74E-01,0.058751514
0.11847871,118.4084447,7.77E-01,0.059421784
0.11847871,120.1715422,7.77E-01,0.060306572
0.118970323,121.3504185,7.81E-01,0.060898176
0.118970323,123.1030534,7.81E-01,0.061777714
0.119461935,124.0896039,7.84E-01,0.062272802
0.119461935,125.8329195,7.84E-01,0.063147663
0.119953548,126.5839902,7.87E-01,0.063524578
0.119953548,128.315773,7.87E-01,0.064393652
0.120445161,128.7376453,7.90E-01,0.064605363
0.120445161,130.4568797,7.90E-01,0.065468139
0.120939082,130.4020973,7.94E-01,0.065440647
0.120939082,132.1113608,7.94E-01,0.066298419
0.121433002,133.0468064,7.97E-01,0.066767861
0.121433002,131.3451802,7.97E-01,0.065913921
0.12192,132.0829666,8.00E-01,0.06628417
0.12192,133.7766758,8.00E-01,0.067134137
0.122406998,138.9256978,8.03E-01,0.069718109
0.122406998,137.2492551,8.03E-01,0.068876807
0.122900918,146.1746861,8.06E-01,0.073355922
0.122900918,147.8255645,8.06E-01,0.074184394
0.123394839,153.1321334,8.10E-01,0.076847429
0.123394839,154.7647488,8.10E-01,0.077666736
0.123886452,159.1211263,8.13E-01,0.07985293
0.123886452,160.737275,8.13E-01,0.080663973
0.124378065,165.1476021,8.16E-01,0.08287724
0.124378065,166.7443353,8.16E-01,0.083678541
0.124869677,171.0382438,8.19E-01,0.085833385
0.124869677,172.6140118,8.19E-01,0.086624164
0.12536129,176.7500497,8.23E-01,0.088699782
0.12536129,178.3071797,8.23E-01,0.089481208
0.125852903,182.3517351,8.26E-01,0.091510917
0.125852903,183.8917496,8.26E-01,0.092283754
0.126344516,187.8656638,8.29E-01,0.094278013
0.126344516,189.3884032,8.29E-01,0.095042181
0.126836129,193.2956854,8.32E-01,0.097003001
0.126836129,194.8005492,8.32E-01,0.097758198
0.127327742,198.6474612,8.35E-01,0.099688722
0.127327742,200.1337836,8.35E-01,0.100434614
0.127819355,203.9267969,8.39E-01,0.10233809
0.127819355,205.3935639,8.39E-01,0.103074168
0.128310968,209.1384156,8.42E-01,0.104953475
0.128310968,210.5852932,8.42E-01,0.105679572
0.128802581,214.284639,8.45E-01,0.107536042
0.128802581,215.7117081,8.45E-01,0.108252199
