"Aerofoil.Aerofoil: Direction [1,0,0] (m)",Aerofoil.Aerofoil: Pressure Coefficient,Column1,Column2
4.76E-04,1614.721735,0.003125,1
4.76E-04,1597.960935,0.003125,0.989620007
0.002120134,788.3675734,0.013911643,0.48823742
0.002120134,783.0993224,0.013911643,0.484974783
0.004716519,-551.0869183,0.030948286,-0.341289094
0.004716519,-534.1123498,0.030948286,-0.330776714
0.007835134,-790.1498989,0.051411643,-0.489341217
0.007835134,-774.3224,0.051411643,-0.479539219
0.01143,-806.4135043,0.075,-0.499413296
0.01143,-796.5519863,0.075,-0.493306041
0.01524,-839.5424393,0.1,-0.519930104
0.01524,-830.005117,0.1,-0.514023623
0.01905,-819.4949266,0.125,-0.507514644
0.01905,-810.7967715,0.125,-0.502127861
0.02286,-828.4724969,0.15,-0.513074469
0.02286,-820.8198219,0.15,-0.508335154
0.02667,-831.5320959,0.175,-0.514969284
0.02667,-824.173099,0.175,-0.510411844
0.03048,-808.4422529,0.2,-0.500669704
0.03048,-801.6805116,0.2,-0.496482146
0.03429,-789.3434454,0.225,-0.488841779
0.03429,-783.0748478,0.225,-0.484959625
0.0381,-764.2171403,0.25,-0.473281014
0.0381,-758.1912911,0.25,-0.469549195
0.04191,-743.0965035,0.275,-0.460200967
0.04191,-737.1583703,0.275,-0.45652347
0.04572,-714.1172359,0.3,-0.442254056
0.04572,-708.4753254,0.3,-0.43876001
0.04953,-660.7762648,0.325,-0.409219899
0.04953,-655.597988,0.325,-0.406012983
0.05334,-605.1431684,0.35,-0.374766225
0.05334,-600.4012601,0.35,-0.371829552
0.05715,-592.4167441,0.375,-0.366884728
0.05715,-587.6694052,0.375,-0.363944692
0.06096,-598.438324,0.4,-0.370613903
0.06096,-593.4373643,0.4,-0.3675168
0.06477,-555.243228,0.425,-0.343863104
0.06477,-550.5505392,0.425,-0.340956914
0.06858,-501.379392,0.45,-0.310505136
0.06858,-497.0508118,0.45,-0.307824439
0.07239,-482.3659015,0.475,-0.298730048
0.07239,-478.0064217,0.475,-0.296030215
0.0762,-473.3839321,0.5,-0.293167499
0.0762,-468.8649518,0.5,-0.290368886
0.08001,-435.6832782,0.525,-0.269819418
0.08001,-431.3346057,0.525,-0.267126277
0.08382,-391.3796169,0.55,-0.242382083
0.08382,-387.2505568,0.55,-0.239824948
0.08763,-369.6599148,0.575,-0.228931033
0.08763,-365.4684296,0.575,-0.226335239
0.09144,-354.1726671,0.6,-0.219339753
0.09144,-349.8297529,0.6,-0.216650179
0.09525,-320.1378446,0.625,-0.198261928
0.09525,-315.8666575,0.625,-0.195616775
0.09906,-281.1622899,0.65,-0.174124299
0.09906,-277.0088707,0.65,-0.171552079
0.10287,-257.5430169,0.675,-0.159496842
0.10287,-253.3265827,0.675,-0.156885597
0.10668,-237.6696242,0.7,-0.147189215
0.10668,-233.3419117,0.7,-0.144509055
0.11049,-204.0645429,0.725,-0.126377529
0.11049,-199.7841227,0.725,-0.123726657
0.1143,-166.3129594,0.75,-0.102997907
0.1143,-162.0973419,0.75,-0.100387168
0.11811,-139.3249232,0.775,-0.086284169
0.11811,-135.0143154,0.775,-0.083614602
0.12192,-109.3701577,0.8,-0.06773313
0.12192,-113.8349671,0.8,-0.070498195
0.12573,-76.36704709,0.825,-0.047294246
0.12573,-71.84366129,0.825,-0.044492905
0.12954,-33.61881765,0.85,-0.020820193
0.12954,-29.16286715,0.85,-0.018060615
0.13335,1.142057275,0.875,0.000707278
0.13335,5.990800869,0.875,0.003710113
0.13716,40.28428217,0.9,0.024948127
0.13716,44.99382265,0.9,0.027864753
0.14097,78.17961357,0.925,0.048416772
0.14097,84.47187358,0.925,0.052313579
0.14478,141.7965211,0.95,0.087814834
0.14478,146.869148,0.95,0.090956321
0.14859,156.5396245,0.975,0.096945264
0.14859,167.0911248,0.975,0.103479826
0.1514475,263.4514355,0.99375,0.163155936
0.1514475,266.1250393,0.99375,0.164811703
